2025-12-08 06:35:53 | INFO     | __main__ | ======================================================================
2025-12-08 06:35:53 | INFO     | __main__ | MASK PIPELINE: Character Face Replacement with EACPS
2025-12-08 06:35:53 | INFO     | __main__ | ======================================================================
2025-12-08 06:35:53 | INFO     | __main__ | Checking GPU availability...
2025-12-08 06:35:54 | INFO     | __main__ | Using devices: ['cuda:0', 'cuda:2', 'cuda:3']
2025-12-08 06:35:54 | INFO     | __main__ | Label Studio: https://label.dashtoon.ai
2025-12-08 06:35:54 | INFO     | __main__ | Project ID: 14514
2025-12-08 06:35:54 | INFO     | __main__ | Devices: ['cuda:0', 'cuda:2', 'cuda:3']
2025-12-08 06:35:54 | INFO     | __main__ | EACPS: k_global=4, m_global=2, k_local=2
2025-12-08 06:35:54 | INFO     | __main__ | Output: outputs/mask_results
2025-12-08 06:35:54 | INFO     | __main__ | Fetching tasks from Label Studio...
2025-12-08 06:35:54 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): label.dashtoon.ai:443
2025-12-08 06:35:56 | DEBUG    | urllib3.connectionpool | https://label.dashtoon.ai:443 "GET /api/projects/14514/tasks?page=1&page_size=100 HTTP/1.1" 200 None
2025-12-08 06:35:56 | INFO     | __main__ | Found 100 tasks
2025-12-08 06:35:56 | INFO     | __main__ | Downloading images...
2025-12-08 06:35:56 | INFO     | __main__ |   [1/100] Task 71676648: Laasya Jain
2025-12-08 06:35:56 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): content.dashtoon.ai:443
2025-12-08 06:35:57 | DEBUG    | urllib3.connectionpool | https://content.dashtoon.ai:443 "GET /user-uploaded-images/694c45fa-6c42-487a-a4c3-b7646a0a3de4.webp HTTP/1.1" 200 541232
2025-12-08 06:35:57 | DEBUG    | PIL.Image | Importing AvifImagePlugin
2025-12-08 06:35:57 | DEBUG    | PIL.Image | Importing BlpImagePlugin
2025-12-08 06:35:57 | DEBUG    | PIL.Image | Importing BmpImagePlugin
2025-12-08 06:35:57 | DEBUG    | PIL.Image | Importing BufrStubImagePlugin
2025-12-08 06:35:57 | DEBUG    | PIL.Image | Importing CurImagePlugin
2025-12-08 06:35:57 | DEBUG    | PIL.Image | Importing DcxImagePlugin
2025-12-08 06:35:57 | DEBUG    | PIL.Image | Importing DdsImagePlugin
2025-12-08 06:35:57 | DEBUG    | PIL.Image | Importing EpsImagePlugin
2025-12-08 06:35:57 | DEBUG    | PIL.Image | Importing FitsImagePlugin
2025-12-08 06:35:57 | DEBUG    | PIL.Image | Importing FliImagePlugin
